排名,标题,链接,热度,电影类型,演员,描述,封面链接
1,绝地战警4,https://www.baidu.com/s?wd=%E7%BB%9D%E5%9C%B0%E6%88%98%E8%AD%A64+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,235513,动作、惊悚,威尔·史密斯、马丁·劳伦斯,《绝地战警4》是由阿迪尔·埃尔·阿比、比拉勒·法拉赫执导，威尔·史密斯、马丁·劳伦斯主演的美国电影。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/f4ba07855a95d4812d1c92b25e668037?x-bce-process=image/resize,m_fill,w_160,h_214"
2,大突围,https://www.baidu.com/s?wd=%E5%A4%A7%E7%AA%81%E5%9B%B4+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,197504,动作,任天野、敖子逸,"抗大一分校的17岁新学员苏凡,千里迢迢从福建龙岩来到沂蒙山腹地的学校驻地报到。报到的第二天就遭遇了日本军数万人的“铁壁合围”大扫荡突袭,通过突围战斗的洗礼,苏凡成长为一名真正的战士!  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/9f6f4377d0e92f87fa8c874c61924470?x-bce-process=image/resize,m_fill,w_160,h_214"
3,隐藏的步骤,https://www.baidu.com/s?wd=%E9%9A%90%E8%97%8F%E7%9A%84%E6%AD%A5%E9%AA%A4+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,185355,恐怖、犯罪,宋承宪、曹宝儿,该片翻拍自同名哥伦比亚悬疑惊悚电影《黑暗面》讲述女主被关进恋人家里秘密的房间后发生的悬疑惊悚故事。 由《人间中毒》金大宇导演执导。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/4ce4d7ea6be6c2c98865ce32824e7322?x-bce-process=image/resize,m_fill,w_160,h_214"
4,角斗士2,https://www.baidu.com/s?wd=%E8%A7%92%E6%96%97%E5%A3%AB2+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,178827,剧情、动作,保罗·麦斯卡、康妮·尼尔森,《角斗士2》是雷德利·斯科特执导的电影，由保罗·麦斯卡主演，定于2024年11月22日在北美上映。该片是2000年电影《角斗士》 的续集。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/13132c567fbe871b07124a8aed5fb80a?x-bce-process=image/resize,m_fill,w_160,h_214"
5,蝙蝠侠,https://www.baidu.com/s?wd=%E8%9D%99%E8%9D%A0%E4%BE%A0+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,173946,剧情、动作,罗伯特·帕丁森、佐伊·克拉维兹,《新蝙蝠侠》由马特·里夫斯执导，罗伯特·帕丁森饰蝙蝠侠，佐伊·克拉维兹饰猫女，保罗·达诺饰谜语人，杰弗里·怀特饰戈登警长，安迪·瑟金斯饰管家阿尔弗雷德，科林·法瑞尔饰企鹅人，约翰·特托罗饰哥谭黑帮头目卡迈因·法尔科内，彼得·萨斯加德饰一名哥谭地区检察官。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/2cd0774205c7d1cdb0faab76173998a7?x-bce-process=image/resize,m_fill,w_160,h_214"
6,哪吒之魔童闹海,https://www.baidu.com/s?wd=%E5%93%AA%E5%90%92%E4%B9%8B%E9%AD%94%E7%AB%A5%E9%97%B9%E6%B5%B7+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,158292,动画,吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭,天劫之后，哪吒、敖丙的灵魂虽保住了，但肉身很快会魂飞魄散。太乙真人打算用七色宝莲给二人重塑肉身。但是在重塑肉身的过程中却遇到重重困难，哪吒、敖丙的命运将走向何方？  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/f9a394f9b5779376803a38e0701705d7?x-bce-process=image/resize,m_fill,w_160,h_214"
7,女囚风暴1995,https://www.baidu.com/s?wd=%E5%A5%B3%E5%9B%9A%E9%A3%8E%E6%9A%B41995+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,153903,犯罪,钟欣潼、周秀娜,该片从一位浴火重生的女囚犯回忆着眼，刻画一群普通女囚在监狱中追求平安和平、维护心中正义、坚守心中所爱的故事。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/3d563cf9b4bcb66256bf68551f42ab29?x-bce-process=image/resize,m_fill,w_160,h_214"
8,忠犬八公,https://www.baidu.com/s?wd=%E5%BF%A0%E7%8A%AC%E5%85%AB%E5%85%AC+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,146802,剧情,冯小刚、陈冲,《忠犬八公》是由徐昂执导，冯小刚陈冲等主演的剧情电影。该片于2023年3月31日上映。该片改编自经典电影《忠犬八公的故事》，讲述了一只叫八筒的忠犬坚持不懈等待主人陈敬修的感人故事。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/1b7a6ac323f9714f07b2e625f546414f?x-bce-process=image/resize,m_fill,w_160,h_214"
9,美国队长,https://www.baidu.com/s?wd=%E7%BE%8E%E5%9B%BD%E9%98%9F%E9%95%BF+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,136787,动作、科幻,安东尼·麦凯、哈里森·福特,"《美国队长4》是由朱利叶斯·约拿执导，安东尼·麦凯主演，并由马尔科姆·斯拜尔曼,达兰·穆森共同编剧的电影。  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/092845fd0ef9c518c797f69b8e659f74?x-bce-process=image/resize,m_fill,w_160,h_214"
10,唐探1900,https://www.baidu.com/s?wd=%E5%94%90%E6%8E%A21900+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,127220,剧情,王宝强 / 刘昊然 / 周润发 / 白客 / 张新成 / 岳云鹏,1900年，在美国旧金山唐人街，华裔印第安猎人阿鬼（王宝强 饰）与留美青年秦福（刘昊然 饰）因一场凶杀案偶然结识，误打误撞组成“唐人街神探”组合。开启了一场笑闹探案之旅……  查看更多>,"https://gips2.baidu.com/it/u=1290188712,993316983&fm=3028&app=3028&f=JPEG&fmt=auto&q=75&size=f200_266?x-bce-process=image/resize,m_fill,w_160,h_214"
11,我和妈妈的最后一年,https://www.baidu.com/s?wd=%E6%88%91%E5%92%8C%E5%A6%88%E5%A6%88%E7%9A%84%E6%9C%80%E5%90%8E%E4%B8%80%E5%B9%B4+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,106096,剧情,菅田将晖、原田美枝子,"工作顺利,和同事结婚的葛西泉(菅田将晖 饰)即将迎来自己的第一个孩子,此时母亲葛西百合子(原田美枝子 饰)的阿兹海默症越来越严重,他不得不开始照顾母亲,而逐渐失忆的母亲将面对自己封印已久的那个“秘密”。  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/8f9cc2d9883f145b9e7b5bedc3890ff5?x-bce-process=image/resize,m_fill,w_160,h_214"
12,僵尸100:在成为僵尸前要做的100件事,https://www.baidu.com/s?wd=%E5%83%B5%E5%B0%B8100%3A%E5%9C%A8%E6%88%90%E4%B8%BA%E5%83%B5%E5%B0%B8%E5%89%8D%E8%A6%81%E5%81%9A%E7%9A%84100%E4%BB%B6%E4%BA%8B+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,70547,惊悚,赤楚卫二,"秋良(赤楚卫二饰)在一家压榨员工的公司上班,他忍受着无休止的加班、老板的权力压迫和不合逻辑的任务,每天都感觉生不如死。一天早上,小镇被僵尸占领,熟悉的风景已经被摧毁。看到这样的场景,秋良高兴地大喊 因为他再也不用去办公室了。秋良展现出内心的积极面,列出了他在成为僵尸之前想做的 100 件事,包括打扫房子和在阳台上露营,然后开始完成他的遗愿清单。  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/23d6cee2e627a06aa5dccc63aa4d2b0c?x-bce-process=image/resize,m_fill,w_160,h_214"
